Application ID,Award Status,Total Discount Rate,Total Institutional Gift,Gross Need,Cobber Edge Award,Priority Cobber Award,Presidential Total,Regents Scholarship Total,Speech Debate Scholarship Total,Theatre Performance Total,Visual Arts Award Total,Music Performance Total
App ID-226328,No Award,0,,45229,0,0,0,0,0,0,0,0
App ID-182057,No Award,0,,14534,0,0,0,0,0,0,0,0
App ID-180723,No Award,0,,44538,0,0,0,0,0,0,0,0
App ID-186544,No Award,0,,46514,0,0,0,0,0,0,0,0
App ID-235681,No Award,0,,40421,0,0,0,0,0,0,0,0
App ID-238965,No Award,0,,39300,0,0,0,0,0,0,0,0
App ID-239496,No Award,0,,30720,0,0,0,0,0,0,0,0
App ID-239693,No Award,0,,45650,0,0,0,0,0,0,0,0
App ID-240224,No Award,0,,,0,0,0,0,0,0,0,0
App ID-196606,No Award,0,,32895,0,0,0,0,0,0,0,0
App ID-196560,No Award,0,,46254,0,0,0,0,0,0,0,0
App ID-172542,No Award,0,,46054,0,0,0,0,0,0,0,0
App ID-204648,Award Complete,43,15760,27763,0,0,0,0,0,0,0,0
App ID-124849,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-196844,No Award,0,,,0,0,0,0,0,0,0,0
App ID-204798,Award Complete,60.03,22000,30549,0,0,0,0,0,0,0,0
App ID-155695,No Award,0,,303,0,0,0,0,0,0,0,0
App ID-141167,No Award,0,,39176,0,0,0,0,0,0,0,0
App ID-129874,No Award,0,,41497,0,0,0,0,0,0,0,0
App ID-155817,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-123921,No Award,0,,43524,0,0,0,0,0,0,0,0
App ID-138667,No Award,0,,17819,0,0,0,0,0,0,0,0
App ID-123450,No Award,0,,44081,0,0,0,0,0,0,0,0
App ID-156017,No Award,0,,28271,0,0,0,0,0,0,0,0
App ID-149881,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-150371,No Award,0,,32529,0,0,0,0,0,0,0,0
App ID-154859,No Award,0,,20620,0,0,0,0,0,0,0,0
App ID-150403,No Award,0,,23868,0,0,0,0,0,0,0,0
App ID-155990,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-122338,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-128565,No Award,0,,31676,0,0,0,0,0,0,0,0
App ID-131639,No Award,0,,29357,0,0,0,0,0,0,0,0
App ID-122373,No Award,0,,18987,0,0,0,0,0,0,0,0
App ID-126383,No Award,0,,38641,0,0,0,0,0,0,0,0
App ID-156711,No Award,0,,45297,0,0,0,0,0,0,0,0
App ID-154881,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-161514,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-181386,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-146106,No Award,0,,40829,0,0,0,0,0,0,0,0
App ID-146107,No Award,0,,44764,0,0,0,0,0,0,0,0
App ID-153175,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-124465,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-138673,No Award,0,,21585,0,0,0,0,0,0,0,0
App ID-143643,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-155944,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-150463,No Award,0,,44566,0,0,0,0,0,0,0,0
App ID-131636,No Award,0,,9522,0,0,0,0,0,0,0,0
App ID-134598,No Award,0,,42969,0,0,0,0,0,0,0,0
App ID-178301,No Award,0,,40354,0,0,0,0,0,0,0,0
App ID-155959,No Award,0,,22774,0,0,0,0,0,0,0,0
App ID-182054,No Award,0,,14845,0,0,0,0,0,0,0,0
App ID-182097,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-192591,No Award,0,,39791,0,0,0,0,0,0,0,0
App ID-122085,No Award,0,,16728,0,0,0,0,0,0,0,0
App ID-158205,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-157653,No Award,0,,14866,0,0,0,0,0,0,0,0
App ID-121878,No Award,0,,20895,0,0,0,0,0,0,0,0
App ID-156339,No Award,0,,35759,0,0,0,0,0,0,0,0
App ID-157892,No Award,0,,29616,0,0,0,0,0,0,0,0
App ID-161863,No Award,0,,22857,0,0,0,0,0,0,0,0
