"","ACT","GPA","Number.Campus.Visits","Royal15","Ind.Visit","Group.Visit","Schol.Visit","Award.Status","Comprehensive.Cost","Total.Gift","Gross.Need","Distance.Mhd","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Pop","Zip.Alumni.Density","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Final.Status","Made.Deposit","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator","Visit.Before.App","FAFSA","Zip.Admits.TY","Zip.Deposits.LY","Visit.Early"
"ACT",1,0.46,0.26,-0.22,-0.13,0.06,0.46,0.15,-0.06,0.16,-0.22,-0.08,0.12,-0.01,0.18,0.02,0.02,0.19,0.06,0.1,0.02,0.04,0.12,-0.19,0.09,0.03,0.17,0.12,0.04,0.05,0.15
"GPA",0.46,1,0.19,-0.24,-0.06,-0.01,0.35,0.13,-0.07,0.18,-0.17,-0.09,-0.05,-0.1,0.16,0.03,0.07,0.12,0.11,0.1,-0.17,-0.02,0.06,-0.15,0.1,0.07,0.14,0.04,0.05,0.06,0.15
"Number.Campus.Visits",0.26,0.19,1,-0.26,0.3,0.53,0.57,0.3,0.02,0.27,-0.17,-0.19,0.05,-0.01,0.15,0.14,0.17,0.23,0.11,0.19,0.02,0.64,0.72,-0.14,0.2,0.13,0.48,0.45,0.17,0.13,0.28
"Royal15",-0.22,-0.24,-0.26,1,-0.02,-0.05,-0.07,-0.12,0.4,-0.06,0.14,0.05,-0.05,0.04,-0.16,-0.03,-0.06,-0.13,-0.13,-0.14,0.03,-0.02,-0.18,0.14,-0.01,0.24,-0.2,-0.15,-0.03,-0.15,-0.17
"Ind.Visit",-0.13,-0.06,0.3,-0.02,1,-0.32,-0.15,0.03,-0.01,-0.02,-0.04,-0.03,-0.02,-0.04,0.05,0.02,0.06,-0.09,0.08,0.02,0.07,0.11,0.1,-0.02,0.01,0.01,0.18,0.01,0.03,0.01,0.18
"Group.Visit",0.06,-0.01,0.53,-0.05,-0.32,1,0.13,0.08,0.1,0.06,-0.03,-0.1,0.04,0.05,-0.04,0.05,0.03,0.09,-0.05,0.09,-0.07,0.22,0.22,0,0.13,0.11,0.18,0.11,0.07,0.01,0.29
"Schol.Visit",0.46,0.35,0.57,-0.07,-0.15,0.13,1,0.11,0.05,0.16,-0.11,-0.01,0.01,0.06,0.01,0.03,0,0.28,-0.05,0.08,-0.04,0.21,0.25,-0.05,0.07,0.09,-0.01,0.26,0.03,0.02,0.08
"Award.Status",0.15,0.13,0.3,-0.12,0.03,0.08,0.11,1,-0.07,0.79,-0.3,-0.08,0.08,-0.02,0.17,0.04,0.06,0.06,0.09,0.09,0.01,0.26,0.29,-0.18,0.1,0.08,0.13,NA,0.06,0.05,0.06
"Comprehensive.Cost",-0.06,-0.07,0.02,0.4,-0.01,0.1,0.05,-0.07,1,-0.01,0.06,0,-0.02,0.02,-0.07,0.01,0.01,-0.08,-0.04,0.2,-0.01,0.09,-0.04,0.08,0.09,0.23,0.03,NA,0.05,-0.27,0.11
"Total.Gift",0.16,0.18,0.27,-0.06,-0.02,0.06,0.16,0.79,-0.01,1,0.15,-0.08,-0.03,-0.08,0.13,-0.04,-0.02,0.08,0.06,0.04,-0.02,0.27,0.27,-0.09,0.06,0.07,0.06,NA,0,-0.01,-0.01
