"Application ID","Award Status","Comprehensive Cost","Total Gift","Total Institutional Gift","Gross Need"
"App ID-161721","Award Complete","44668.00","28000.00","28000.00","42032.00"
"App ID-187813","Award Complete","44668.00","29600.00","29600.00","41940.00"
"App ID-253488","Award Complete","44668.00","18000.00","18000.00","0.00"
"App ID-182163","Award Complete","44668.00","17000.00","17000.00","6743.00"
"App ID-187806","Award Complete","44668.00","29395.00","28230.00","42912.00"
"App ID-230578","Award Complete","44668.00","19000.00","19000.00","0.00"
"App ID-228350","Award Complete","44668.00","24380.00","23360.00","27098.00"
"App ID-154311","Award Complete","44668.00","19000.00","19000.00","0.00"
"App ID-163869","No Award","44668.00","0.00","0.00","47448.00"
"App ID-191735","Award Complete","44668.00","22380.00","22380.00","23561.00"
"App ID-162442","Award Complete","44668.00","20400.00","20400.00","13444.00"
"App ID-172761","Award Complete","44668.00","29601.00","16000.00",""
"App ID-230486","Award Complete","44668.00","17000.00","17000.00","8514.00"
"App ID-234079","Award Complete","44668.00","26600.00","26600.00","32451.00"
"App ID-239690","No Award","44668.00","0.00","0.00","43032.00"
"App ID-187395","Award Complete","44668.00","22160.00","22160.00","24626.00"
"App ID-160116","Award Complete","44668.00","18500.00","18500.00",""
"App ID-246585","Award Complete","44668.00","30425.00","27660.00",""
"App ID-144875","Award Complete","44668.00","18500.00","18500.00","0.00"
"App ID-240472","Award Complete","44668.00","31251.00","15500.00",""
"App ID-251596","Award Complete","44668.00","18000.00","18000.00","0.00"
"App ID-136927","Award Complete","44668.00","20734.00","20010.00","36250.00"
"App ID-234697","Award Complete","44668.00","0.00","0.00","252.00"
"App ID-253507","No Award","44668.00","0.00","0.00",""
"App ID-187842","No Award","44668.00","0.00","0.00",""
"App ID-226870","Award Complete","44668.00","27346.00","25240.00","37470.00"
"App ID-232285","Award Complete","44668.00","19000.00","19000.00","0.00"
"App ID-173939","Award Complete","44668.00","16500.00","16500.00","6026.00"
"App ID-236822","Award Complete","44668.00","26696.00","22520.00","39847.00"
"App ID-182281","Award Complete","44668.00","22960.00","22960.00",""
"App ID-187237","Award Complete","44668.00","28582.00","22750.00","41392.00"
"App ID-234644","Award Complete","44668.00","25212.00","23180.00","37633.00"
"App ID-244522","Award Complete","44668.00","26784.00","22450.00","39990.00"
"App ID-164769","Award Complete","44668.00","29439.00","18660.00","46258.00"
"App ID-187842","No Award","44668.00","0.00","",""
"App ID-226870","No Award","44668.00","0.00","","37470.00"
"App ID-232285","No Award","44668.00","0.00","","0.00"
"App ID-173939","No Award","44668.00","0.00","","6026.00"
"App ID-236822","No Award","44668.00","0.00","","39847.00"
"App ID-182281","No Award","44668.00","0.00","",""
"App ID-187237","No Award","44668.00","0.00","","41392.00"
"App ID-234644","No Award","44668.00","0.00","","37633.00"
"App ID-244522","No Award","44668.00","0.00","","39990.00"
"App ID-164769","No Award","44668.00","0.00","","46258.00"
"App ID-226328","Award Complete","44668.00","31655.00","28790.00","45229.00"
"App ID-182057","Award Complete","44668.00","16290.00","16290.00","14534.00"
"App ID-180723","Award Complete","44668.00","29205.00","21000.00","44538.00"
"App ID-186544","Award Complete","44668.00","30697.00","16140.00","46514.00"
"App ID-235681","Award Complete","44668.00","29200.00","29200.00","40421.00"
"App ID-238965","Award Complete","44668.00","28682.00","23520.00","39300.00"
"App ID-239496","Award Complete","44668.00","26600.00","26600.00","30720.00"
"App ID-239693","Award Complete","44668.00","27883.00","18350.00","45650.00"
"App ID-240224","Award Complete","44668.00","26794.00","20190.00",""
"App ID-196606","No Award","43064.00","0.00","","32895.00"
"App ID-196560","No Award","43064.00","0.00","","46254.00"
"App ID-172542","No Award","43064.00","0.00","","46054.00"
"App ID-204648","Award Complete","43064.00","15760.00","15760.00","27763.00"
"App ID-124849","No Award","43064.00","0.00","","0.00"
"App ID-196844","No Award","43064.00","0.00","",""
"App ID-204798","Award Complete","43064.00","22000.00","22000.00","30549.00"
"App ID-155695","No Award","43064.00","0.00","","303.00"
"App ID-155817","No Award","43064.00","0.00","","0.00"
"App ID-123921","No Award","43064.00","0.00","","43524.00"
"App ID-138667","No Award","43064.00","0.00","","17819.00"
"App ID-123450","No Award","43064.00","0.00","","44081.00"
"App ID-156017","No Award","43064.00","0.00","","28271.00"
"App ID-150371","No Award","43064.00","0.00","","32529.00"
"App ID-154859","No Award","43064.00","0.00","","20620.00"
"App ID-150403","No Award","43064.00","0.00","","23868.00"
"App ID-122338","No Award","43064.00","0.00","","0.00"
"App ID-131639","No Award","43064.00","0.00","","29357.00"
"App ID-122373","No Award","43064.00","0.00","","18987.00"
"App ID-156711","No Award","43064.00","0.00","","45297.00"
"App ID-154881","No Award","43064.00","0.00","","0.00"
"App ID-161514","No Award","43064.00","0.00","","0.00"
"App ID-181386","No Award","43064.00","0.00","","0.00"
"App ID-146106","No Award","43064.00","0.00","","40829.00"
"App ID-146107","No Award","43064.00","0.00","","44764.00"
"App ID-153175","No Award","43064.00","0.00","","0.00"
"App ID-138673","No Award","43064.00","0.00","","21585.00"
"App ID-143643","No Award","43064.00","0.00","","0.00"
"App ID-150463","No Award","43064.00","0.00","","44566.00"
"App ID-131636","No Award","43064.00","0.00","","9522.00"
"App ID-134598","No Award","43064.00","0.00","","42969.00"
"App ID-178301","No Award","43064.00","0.00","","40354.00"
"App ID-182054","No Award","43064.00","0.00","","14845.00"
"App ID-182097","No Award","43064.00","0.00","","0.00"
"App ID-192591","No Award","43064.00","0.00","","39791.00"
"App ID-122085","No Award","43064.00","0.00","","16728.00"
"App ID-158205","No Award","43064.00","0.00","","0.00"
"App ID-157653","No Award","43064.00","0.00","","14866.00"
"App ID-121878","No Award","43064.00","0.00","","20895.00"
"App ID-156339","No Award","43064.00","0.00","","35759.00"
"App ID-157892","No Award","43064.00","0.00","","29616.00"
"App ID-161863","No Award","43064.00","0.00","","22857.00"
"App ID-124981","No Award","43064.00","0.00","","37840.00"
"App ID-145799","No Award","43064.00","0.00","","18303.00"
"App ID-124497","No Award","43064.00","0.00","","18120.00"
"App ID-164211","No Award","43064.00","0.00","","24829.00"
"App ID-162476","No Award","43064.00","0.00","","39848.00"
"App ID-164408","No Award","43064.00","0.00","","40092.00"
"App ID-124866","No Award","43064.00","0.00","","15384.00"
"App ID-124642","No Award","43064.00","0.00","","0.00"
"App ID-162558","No Award","43064.00","0.00","","46054.00"
"App ID-161773","No Award","43064.00","0.00","","43890.00"
"App ID-159168","No Award","43064.00","0.00","","23322.00"
"App ID-161187","No Award","43064.00","0.00","","7567.00"
"App ID-163023","No Award","43064.00","0.00","","30565.00"
"App ID-136966","No Award","43064.00","0.00","","31773.00"
"App ID-164224","No Award","43064.00","0.00","","33375.00"
"App ID-158098","No Award","43064.00","0.00","","0.00"
"App ID-152424","No Award","43064.00","0.00","","34747.00"
"App ID-158201","No Award","43064.00","0.00","","0.00"
"App ID-121624","No Award","43064.00","0.00","","38786.00"
"App ID-164046","No Award","43064.00","0.00","","44022.00"
"App ID-160947","No Award","43064.00","0.00","","0.00"
"App ID-184192","No Award","43064.00","0.00","","46044.00"
"App ID-139517","No Award","43064.00","0.00","","36610.00"
"App ID-159790","No Award","43064.00","0.00","","41758.00"
"App ID-163005","No Award","43064.00","0.00","","31348.00"
"App ID-159727","No Award","43064.00","0.00","","0.00"
"App ID-164208","No Award","43064.00","0.00","","35621.00"
"App ID-126225","No Award","43064.00","0.00","","29829.00"
"App ID-128867","No Award","43064.00","0.00","","43215.00"
"App ID-161860","No Award","43064.00","0.00","","0.00"
"App ID-164138","No Award","43064.00","0.00","","20036.00"
"App ID-145450","No Award","43064.00","0.00","","16296.00"
"App ID-161172","No Award","43064.00","0.00","","40251.00"
"App ID-160951","No Award","43064.00","0.00","","30170.00"
"App ID-126570","No Award","43064.00","0.00","","33460.00"
"App ID-155006","No Award","43064.00","0.00","","46424.00"
"App ID-127674","No Award","43064.00","0.00","","44954.00"
"App ID-161094","No Award","43064.00","0.00","","45554.00"
"App ID-164213","No Award","43064.00","0.00","","11859.00"
"App ID-122432","No Award","43064.00","0.00","","30172.00"
"App ID-161867","No Award","43064.00","0.00","","0.00"
"App ID-154460","No Award","43064.00","0.00","","10408.00"
"App ID-156504","No Award","43064.00","0.00","","22873.00"
"App ID-124124","No Award","43064.00","0.00","","43312.00"
"App ID-164484","No Award","43064.00","0.00","","0.00"
"App ID-163907","No Award","43064.00","0.00","","0.00"
"App ID-149842","No Award","43064.00","0.00","","0.00"
"App ID-145991","No Award","43064.00","0.00","","11962.00"
"App ID-158202","No Award","43064.00","0.00","","40352.00"
"App ID-150372","No Award","43064.00","0.00","","15212.00"
"App ID-158107","No Award","43064.00","0.00","","0.00"
"App ID-146072","No Award","43064.00","0.00","","34115.00"
"App ID-157048","No Award","43064.00","0.00","","12265.00"
"App ID-139793","No Award","43064.00","0.00","","0.00"
"App ID-159721","No Award","43064.00","0.00","","10197.00"
"App ID-128081","No Award","43064.00","0.00","","29520.00"
"App ID-160602","No Award","43064.00","0.00","","28666.00"
"App ID-161870","No Award","43064.00","0.00","","41712.00"
"App ID-168258","No Award","43064.00","0.00","","0.00"
"App ID-156330","No Award","43064.00","0.00","","0.00"
"App ID-122814","No Award","43064.00","0.00","","27814.00"
"App ID-122383","No Award","43064.00","0.00","","0.00"
"App ID-125534","No Award","43064.00","0.00","","41381.00"
"App ID-168223","No Award","43064.00","0.00","","37157.00"
"App ID-168234","No Award","43064.00","0.00","","0.00"
"App ID-157802","No Award","43064.00","0.00","","10589.00"
"App ID-121814","No Award","43064.00","0.00","","38549.00"
"App ID-127734","No Award","43064.00","0.00","","43509.00"
"App ID-145979","No Award","43064.00","0.00","","0.00"
"App ID-131473","No Award","43064.00","0.00","","43012.00"
"App ID-164281","No Award","43064.00","0.00","","39995.00"
"App ID-156588","No Award","43064.00","0.00","","0.00"
"App ID-168257","No Award","43064.00","0.00","","45994.00"
"App ID-164410","No Award","43064.00","0.00","","14377.00"
"App ID-156320","No Award","43064.00","0.00","","33082.00"
"App ID-145461","No Award","43064.00","0.00","","41591.00"
"App ID-162456","No Award","43064.00","0.00","","11082.00"
"App ID-192462","Award Complete","43064.00","10032.00","9269.00","38069.00"
"App ID-186966","No Award","43064.00","0.00","","40875.00"
"App ID-162337","No Award","43064.00","0.00","","0.00"
"App ID-161516","No Award","43064.00","0.00","","36354.00"
"App ID-173962","No Award","43064.00","0.00","","38944.00"
"App ID-161507","No Award","43064.00","0.00","","0.00"
"App ID-186356","No Award","43064.00","0.00","","2279.00"
"App ID-164065","No Award","43064.00","0.00","","28202.00"
"App ID-164250","No Award","43064.00","0.00","","6170.00"
"App ID-172010","No Award","43064.00","0.00","","0.00"
"App ID-186651","No Award","43064.00","0.00","","46054.00"
"App ID-191178","No Award","43064.00","0.00","","35556.00"
"App ID-157796","No Award","43064.00","0.00","",""
"App ID-161781","No Award","43064.00","0.00","","29462.00"
"App ID-157674","No Award","43064.00","0.00","","36688.00"
"App ID-185330","No Award","43064.00","0.00","","42725.00"
"App ID-161511","No Award","43064.00","0.00","",""
"App ID-186626","No Award","43064.00","0.00","","23761.00"
"App ID-186569","No Award","43064.00","0.00","","15047.00"
"App ID-171542","No Award","43064.00","0.00","","41448.00"
"App ID-156031","No Award","43064.00","0.00","","2178.00"
"App ID-161290","No Award","43064.00","0.00","","31726.00"
"App ID-156514","No Award","43064.00","0.00","","46054.00"
"App ID-154871","No Award","43064.00","0.00","","39352.00"
