"Active Application Record","Campus Visit Date/Time","Visit Date","Campus Visit: Record Type"
"App ID-75079","2/18/2013 12:00 AM","2/18/2013","Daily Campus Visit"
"App ID-75080","11/9/2013 11:00 AM","11/9/2013","Daily Campus Visit"
"App ID-75081","1/27/2014 1:30 PM","1/27/2014","Regents Scholarship Event"
"App ID-75081","7/9/2013 12:00 AM","7/9/2013","Daily Campus Visit"
"App ID-75085","8/13/2013 12:00 AM","8/13/2013","Visit Day: August Visit Day"
"App ID-75087","1/17/2014 1:30 PM","1/17/2014","Presidential Distinction Scholarship"
"App ID-75088","2/10/2014 1:30 PM","2/10/2014","Regents Scholarship Event"
"App ID-75088","7/25/2013 12:00 AM","7/25/2013","Daily Campus Visit"
"App ID-75089","10/25/2013 12:00 AM","10/25/2013","Daily Campus Visit"
"App ID-75089","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
"App ID-75090","3/26/2013 12:00 AM","3/26/2013","Daily Campus Visit"
"App ID-75092","6/25/2013 12:00 AM","6/25/2013","MPCW"
"App ID-75092","1/17/2014 1:30 PM","1/17/2014","Presidential Distinction Scholarship"
"App ID-75094","3/21/2014 8:00 AM","3/21/2014","Daily Campus Visit"
"App ID-75094","3/22/2014 10:00 AM","3/22/2014","Cobber Celebration"
"App ID-75096","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
"App ID-75098","4/16/2013 12:00 AM","4/16/2013","Daily Campus Visit"
"App ID-75099","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
"App ID-75100","7/29/2013 12:00 AM","7/29/2013","Daily Campus Visit"
"App ID-75100","12/7/2013 10:00 AM","12/7/2013","Daily Campus Visit"
"App ID-75101","10/12/2013 12:00 AM","10/12/2013","Daily Campus Visit"
"App ID-75102","7/15/2013 12:00 AM","7/15/2013","Daily Campus Visit"
"App ID-75103","8/5/2013 12:00 AM","8/5/2013","Daily Campus Visit"
"App ID-75103","11/15/2013 8:30 AM","11/15/2013","Presidential Distinction Scholarship"
"App ID-75104","2/1/2014 9:00 AM","2/1/2014","Daily Campus Visit"
"App ID-75107","1/27/2014 1:30 PM","1/27/2014","Regents Scholarship Event"
"App ID-75107","12/6/2013 2:30 PM","12/6/2013","Daily Campus Visit"
"App ID-75108","10/18/2013 12:00 AM","10/18/2013","EDMN/NDEA"
"App ID-75108","1/17/2014 1:30 PM","1/17/2014","Presidential Distinction Scholarship"
"App ID-75109","1/17/2014 1:30 PM","1/17/2014","Presidential Distinction Scholarship"
"App ID-75109","7/24/2013 12:00 AM","7/24/2013","Daily Campus Visit"
"App ID-75110","10/18/2013 12:00 AM","10/18/2013","Daily Campus Visit"
"App ID-75110","10/18/2013 12:00 AM","10/18/2013","EDMN/NDEA"
"App ID-75111","9/7/2013 12:00 AM","9/7/2013","Daily Campus Visit"
"App ID-75113","6/3/2013 12:00 AM","6/3/2013","MPCW"
"App ID-75114","3/7/2013 12:00 AM","3/7/2013","Daily Campus Visit"
"App ID-75114","1/31/2014 1:30 PM","1/31/2014","Regents Scholarship Event"
"App ID-75115","11/22/2013 9:30 AM","11/22/2013","Daily Campus Visit"
"App ID-75118","3/5/2014 10:00 AM","3/5/2014","Daily Campus Visit"
"App ID-75119","8/21/2013 12:00 AM","8/21/2013","Daily Campus Visit"
"App ID-75120","4/25/2013 12:00 AM","4/25/2013","Daily Campus Visit"
"App ID-75121","7/17/2013 12:00 AM","7/17/2013","Daily Campus Visit"
"App ID-75122","10/18/2013 12:00 AM","10/18/2013","EDMN/NDEA"
"App ID-75122","12/14/2013 2:00 PM","12/14/2013","Christmas Concerts"
"App ID-75124","8/16/2013 12:00 AM","8/16/2013","Daily Campus Visit"
"App ID-75125","8/26/2013 12:00 AM","8/26/2013","Daily Campus Visit"
"App ID-75126","6/26/2013 12:00 AM","6/26/2013","MPCW"
"App ID-75126","10/1/2013 12:00 AM","10/1/2013","Road Trip"
"App ID-75126","10/7/2013 8:30 AM","10/7/2013","Road Trip"
"App ID-75126","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
"App ID-75126","3/22/2014 11:15 AM","3/22/2014","Cobber Celebration"
"App ID-75176","6/28/2013 12:00 AM","6/28/2013","MPCW"
"App ID-75177","2/7/2014 1:30 PM","2/7/2014","Presidential Distinction Scholarship"
"App ID-75177","3/13/2013 12:00 AM","3/13/2013","Daily Campus Visit"
"App ID-75178","10/31/2015 9:00 AM","10/31/2015","BrewU"
"App ID-75178","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
