"ID","Date.App.Submitted","Date.App.Completed","Date.Deposited","Date.FAFSA.Received","Date.Award.Packaged","Date.CREDO.Invitation.Sent","Date.CREDO.Contract.Received"
"App ID-100371","2013-12-22","2014-01-06",NA,NA,NA,NA,NA
"App ID-100460","2013-11-07",NA,NA,NA,NA,NA,NA
"App ID-100467","2013-11-01",NA,NA,NA,NA,NA,NA
"App ID-100483","2013-11-11","2013-11-25",NA,"2014-02-25","2014-03-19","2014-03-10",NA
"App ID-100553","2013-12-04","2014-01-06","2014-01-21","2014-05-14","2014-06-11",NA,NA
"App ID-100653","2013-11-11","2013-12-23","2014-03-20",NA,NA,NA,NA
"App ID-100654","2013-11-25","2013-11-27","2014-03-31","2014-03-04","2014-04-07",NA,NA
"App ID-100733","2014-02-17","2014-02-17","2014-03-04","2014-02-26","2014-03-19",NA,NA
"App ID-101588","2014-04-16",NA,NA,NA,NA,NA,NA
"App ID-101717","2013-11-25",NA,NA,NA,NA,NA,NA
"App ID-101822","2014-04-14",NA,"2014-05-30",NA,NA,NA,NA
"App ID-102143","2013-10-30",NA,"2014-05-02","2014-02-26","2014-03-20",NA,NA
"App ID-102185","2013-11-08","2013-12-03",NA,NA,NA,NA,NA
"App ID-102637","2013-11-25","2013-12-09","2014-01-20","2014-02-19","2014-03-17","2014-03-10",NA
"App ID-102646","2013-12-03","2013-12-09","2014-01-24","2014-03-18","2014-04-25","2014-03-10","2014-03-27"
"App ID-102798","2013-12-02","2014-01-14",NA,"2014-03-18","2014-03-21","2014-03-10",NA
"App ID-102809","2013-11-18","2013-12-02",NA,NA,NA,NA,NA
"App ID-102884","2013-12-19","2014-01-06",NA,NA,NA,NA,NA
"App ID-102913","2013-10-30",NA,NA,NA,NA,NA,NA
"App ID-102915","2013-10-30","2013-12-13",NA,NA,NA,NA,NA
"App ID-102919","2013-11-04","2013-12-31","2014-03-03","2014-03-13","2014-05-29",NA,NA
"App ID-103025","2013-12-19",NA,"2014-04-08","2014-02-19","2014-06-25",NA,NA
"App ID-103354","2013-11-12","2013-11-12",NA,NA,NA,NA,NA
"App ID-103356","2013-10-31",NA,"2014-02-27","2014-03-04","2014-03-17",NA,NA
"App ID-103390","2013-11-27",NA,"2014-05-07","2014-03-10","2014-04-23",NA,NA
"App ID-103537","2013-11-06",NA,NA,"2014-02-18","2014-03-20",NA,NA
"App ID-103584","2014-01-02","2014-01-27",NA,"2014-02-25","2014-04-17",NA,NA
"App ID-103988","2014-02-03","2014-02-19",NA,"2014-02-28","2014-04-17",NA,NA
"App ID-104024","2013-11-01","2013-12-09","2014-03-31","2014-03-04","2014-03-19",NA,NA
"App ID-104405","2014-02-17","2014-02-19",NA,NA,NA,NA,NA
"App ID-104454","2014-02-12",NA,"2014-04-02","2014-02-20","2014-03-20",NA,NA
"App ID-104569","2014-04-08",NA,NA,"2014-05-06",NA,NA,NA
"App ID-104690","2014-01-30","2014-02-21",NA,"2014-03-25",NA,NA,NA
"App ID-104703","2013-12-13","2014-01-08",NA,"2014-02-28","2014-03-20",NA,NA
"App ID-104917","2013-11-19","2013-12-09","2014-01-21","2014-02-17","2014-03-31","2014-03-10","2014-03-26"
"App ID-105037","2013-12-17","2014-01-07","2014-02-25","2014-04-02","2014-04-15",NA,NA
"App ID-105091","2014-01-06","2014-01-24",NA,"2014-03-04","2014-03-20",NA,NA
"App ID-105138","2014-12-11","2014-12-22",NA,NA,NA,NA,NA
"App ID-105141","2014-12-22","2015-01-05",NA,NA,NA,NA,NA
"App ID-105161","2014-02-18","2014-02-24",NA,NA,NA,NA,NA
"App ID-105171","2013-10-31",NA,NA,NA,NA,NA,NA
"App ID-105176","2013-12-04",NA,NA,NA,NA,NA,NA
"App ID-105193","2014-01-03",NA,NA,NA,NA,NA,NA
"App ID-105270","2013-11-19","2013-11-22",NA,"2014-02-18","2014-03-17","2014-03-10","2014-03-27"
"App ID-105288","2014-04-16",NA,NA,"2014-04-21","2014-04-30",NA,NA
"App ID-105294","2013-12-02","2013-12-16",NA,"2014-03-27","2014-03-28",NA,NA
"App ID-105360","2014-01-12",NA,NA,"2014-03-07","2014-04-25",NA,NA
"App ID-105362","2013-12-17","2014-01-14",NA,"2014-02-17","2014-03-17",NA,NA
"App ID-105375","2014-01-15","2014-02-19",NA,NA,NA,NA,NA
"App ID-105410","2014-01-04","2014-01-27","2014-03-19","2014-02-18","2014-03-17",NA,NA
"App ID-105416","2014-01-27","2014-01-28",NA,"2014-04-01","2014-04-02",NA,NA
"App ID-105496","2013-11-06",NA,NA,NA,NA,NA,NA
"App ID-105505","2013-11-18","2013-12-07",NA,NA,NA,NA,NA
"App ID-105593","2013-11-06",NA,NA,NA,NA,NA,NA
"App ID-105618","2013-12-02","2013-12-20","2014-04-17","2014-03-03","2014-03-19",NA,NA
"App ID-105635","2013-11-12","2013-11-25",NA,"2014-02-17","2014-04-30","2014-03-10",NA
"App ID-105699","2013-11-04",NA,NA,NA,NA,NA,NA
"App ID-105704","2013-11-11","2013-11-27",NA,NA,NA,NA,NA
"App ID-105715","2014-01-15","2014-01-17",NA,NA,NA,NA,NA
"App ID-105717","2013-12-02",NA,"2014-04-29","2014-02-20","2014-03-25",NA,NA
"App ID-105843","2013-11-18","2013-11-23",NA,"2014-03-03",NA,NA,NA
"App ID-105867","2013-11-26","2013-12-12","2014-04-04","2014-03-04","2014-03-19",NA,NA
"App ID-105934","2015-01-29","2015-01-29",NA,"2015-02-04","2015-03-17",NA,NA
"App ID-105967","2014-01-29",NA,"2014-06-12",NA,NA,NA,NA
"App ID-106095","2013-11-12","2013-12-02","2014-03-24","2014-03-07","2014-03-20",NA,NA
"App ID-106115","2013-11-07","2014-01-07","2014-05-01","2014-02-17",NA,NA,NA
"App ID-106125","2014-01-19","2014-01-31",NA,"2014-03-19","2014-03-21",NA,NA
"App ID-106168","2013-10-30","2013-11-19",NA,"2014-02-17",NA,NA,NA
"App ID-106310","2013-11-13","2013-11-26",NA,NA,NA,NA,NA
"App ID-106311","2013-11-27","2013-12-07","2014-04-30","2014-03-07","2014-03-20",NA,NA
"App ID-106314","2013-12-03","2013-12-05",NA,"2014-03-12","2014-03-21",NA,NA
"App ID-106317","2013-10-30",NA,"2013-12-03","2014-02-18","2014-03-17","2014-03-10","2014-04-24"
