"school","size"
"Academy for Sciences & Agriculture",168
"Academy of Holy Angels",741
"Ada-Borup High School",156
"Adrian High School",157
"Aitkin High School",340
"Albany High School",468
"Albert Lea High School",796
"Alden-Conger High School",111
"Alexandria Area High School",1126
"Andover High School",1614
"Annandale High School",498
"Anoka High School",2157
"Apple Valley High School",1638
"Arcadia Charter School",65
"Ashby High School",70
"Atwater-Cosmos-Grove City H.S.",190
"Austin High School",979
"Austin Pacelli High School",41
"Avalon School",130
"B O L D High School",237
"Badger High School",44
"Bagley High School",254
"Barnesville High School",223
"Barnum High School",174
"Battle Lake High School",130
"Becker High School",722
"Belgrade-Brooten-Elrosa H.S.",178
"Belle Plaine High School",427
"Bemidji High School",1145
"Benilde-St. Margaret's School",930
"Benson High School",282
"Bertha-Hewitt High School",111
"Bethany Academy",116
"Bethlehem Academy",195
"Big Lake High School",857
"Bigfork High School",78
"Blackduck High School",156
"Blaine High School",2551
"Blake School (The)",521
"Blooming Prairie High School",198
"Bloomington Jefferson High School",1543
"Bloomington Kennedy High School",1275
"Blue Earth Area High School",322
"Braham High School",217
"Brainerd High School",1685
"Brandon-Evansville High School",63
"Breck School",398
"Breckenridge High School",261
"Brooklyn Center High School",329
"Browerville High School",151
"Buffalo High School",1626
"Buffalo Lake-Hector-Stewart High School",156
"Bug-O-Nay-Ge-Shig School",47
"Burnsville High School",2530
"Butterfield-Odin High School",57
"Byron High School",512
"Caledonia High School",300
"Calvin Christian High School",65
"Cambridge Christian School",40
"Cambridge-Isanti High School",1367
"Campbell-Tintah High School",35
"Canby High School",157
"Cannon Falls High School",355
"Cannon Valley Lutheran",27
"Carlton High School",132
"Cass Lake-Bena High School",156
"Cedar Mountain High School",109
"Centennial High School",2017
"Central Minnesota Christian",85
"Champlin Park High School",2571
"Chanhassen High School",1383
"Chaska High School",1042
"Chatfield High School",251
"Cherry High School",83
"Chisago Lakes High School",1057
"Chisholm High School",159
"Chokio-Alberta High School",38
"Christ's Household of Faith",36
