"zip","distance","Median.Income","Total","White","Pct.White"
"0",NA,NA,NA,NA,NA
"00601",NA,10833,18088,17408,0.9624
"00602",NA,16353,40859,23919,0.5854
"00603",NA,16323,53162,38809,0.73
"00606",NA,14138,6415,5621,0.8762
"00610",NA,17265,28805,19336,0.6713
"00612",NA,17752,66251,55315,0.8349
"00616",NA,15115,10466,9662,0.9232
"00617",NA,15461,24917,24002,0.9633
"00622",NA,14993,6589,5864,0.89
"00623",NA,17044,44117,38898,0.8817
"00624",NA,15467,24902,21359,0.8577
"00627",NA,19490,34438,30566,0.8876
"00631",NA,9613,1847,1648,0.8923
"00637",NA,14977,24799,21358,0.8612
"00638",NA,12588,18365,17709,0.9643
"00641",NA,15542,30183,26447,0.8762
"00646",NA,27924,38305,28518,0.7445
"00647",NA,13668,5245,4662,0.8888
"00650",NA,15090,14679,13999,0.9537
"00652",NA,14903,3831,3374,0.8807
"00653",NA,13596,13427,11585,0.8628
"00656",NA,15440,20839,18565,0.8909
"00659",NA,19130,41830,39843,0.9525
"00660",NA,21323,17023,7317,0.4298
"00662",NA,16050,43101,28569,0.6628
"00664",NA,15976,16298,13876,0.8514
"00667",NA,13527,25510,22298,0.8741
"00669",NA,11967,28442,27119,0.9535
"00670",NA,14989,9478,8866,0.9354
"00674",NA,18796,43240,37486,0.8669
"00676",NA,15277,39513,31548,0.7984
"00677",NA,16737,15012,8583,0.5717
"00678",NA,14824,27045,19729,0.7295
"00680",NA,15173,54824,30134,0.5496
"00682",NA,15868,31908,15700,0.492
"00683",NA,15030,33050,30035,0.9088
"00685",NA,14686,41403,37394,0.9032
"00687",NA,16086,32484,28015,0.8624
"00688",NA,14135,13251,12134,0.9157
"00690",NA,19688,5906,3591,0.608
"00692",NA,18003,37329,28832,0.7724
"00693",NA,16709,59513,55136,0.9265
"00694",NA,11250,134,121,0.903
"00698",NA,15414,40276,36212,0.8991
"00703",NA,14968,28739,22646,0.788
"00704",NA,12341,8100,4739,0.5851
"00705",NA,16744,25090,20631,0.8223
"00707",NA,17866,11904,5990,0.5032
"00714",NA,15901,19229,10039,0.5221
"00715",NA,13534,3714,1780,0.4793
"00716",NA,18609,31362,22689,0.7235
"00717",NA,11692,18176,12974,0.7138
"00718",NA,18247,26786,16909,0.6313
"00719",NA,17592,30772,14794,0.4808
"00720",NA,14578,22862,18254,0.7984
"00723",NA,14343,18766,10991,0.5857
"00725",NA,20704,88152,65374,0.7416
"00727",NA,29304,57036,43751,0.7671
"00728",NA,17689,42333,34488,0.8147
"00729",NA,21243,54198,27000,0.4982
"00730",NA,15459,36201,26696,0.7374
"00731",NA,15894,14320,12108,0.8455
"00735",NA,20450,13203,7923,0.6001
"00736",NA,21023,51116,37543,0.7345
"00738",NA,20917,33835,20289,0.5996
"00739",NA,23629,38424,28840,0.7506
"00740",NA,13077,1704,843,0.4947
"00741",NA,19237,5365,2536,0.4727
"00745",NA,22694,54253,29700,0.5474
"00751",NA,14236,23020,12852,0.5583
"00754",NA,17192,40022,32417,0.81
"00757",NA,16344,23114,13327,0.5766
"00765",NA,18297,9139,3835,0.4196
"00766",NA,17210,25549,15839,0.6199
"00767",NA,16664,36962,25775,0.6973
"00769",NA,18053,39871,26769,0.6714
"00771",NA,19869,38435,28548,0.7428
"00772",NA,16118,21682,2979,0.1374
"00773",NA,18256,19731,10791,0.5469
"00775",NA,18167,1585,949,0.5987
"00777",NA,19398,40863,31367,0.7676
"00778",NA,27872,46569,28082,0.603
"00780",NA,22197,13678,9621,0.7034
"00782",NA,13472,18595,11177,0.6011
"00783",NA,16860,35856,17165,0.4787
"00784",NA,17048,43251,29605,0.6845
"00786",NA,21167,327,312,0.9541
"00791",NA,20357,51757,30808,0.5952
"00794",NA,14998,30462,14350,0.4711
"00795",NA,18890,47106,28322,0.6012
"00901",NA,17256,6428,4728,0.7355
"00906",NA,33056,43,36,0.8372
"00907",NA,30994,17910,13166,0.7351
"00909",NA,16309,6071,3350,0.5518
"00911",NA,28132,7425,5298,0.7135
"00912",NA,19781,6414,3239,0.505
"00913",NA,6809,8179,4826,0.59
"00915",NA,13773,30642,14706,0.4799
"00917",NA,15458,19723,13720,0.6956
"00918",NA,24712,16553,13422,0.8108
"00920",NA,26157,18729,13046,0.6966
"00921",NA,19263,38499,25072,0.6512
"00923",NA,15633,27853,17405,0.6249
"00924",NA,19142,56236,34123,0.6068
"00925",NA,11794,7120,3827,0.5375
"00926",NA,35140,105093,72086,0.6859
"00927",NA,33758,14764,12566,0.8511
"00934",NA,83264,188,63,0.3351
"00936",NA,NA,877,587,0.6693
"00949",NA,24961,80406,43325,0.5388
"00950",NA,NA,0,0,NA
"00951",NA,NA,15,7,0.4667
"00952",NA,18499,9338,2404,0.2574
"00953",NA,29406,73537,45940,0.6247
"00956",NA,23125,75830,46916,0.6187
"00957",NA,23643,44639,26861,0.6017
"00959",NA,26754,48699,29509,0.6059
"00960",NA,NA,2037,868,0.4261
"00961",NA,29169,31774,16564,0.5213
"00962",NA,16289,21204,13940,0.6574
"00965",NA,16135,8978,5432,0.605
"00966",NA,53052,15785,13252,0.8395
