"zip","distance","Median.Income","Total","White","Pct.White","Alumni.Pop","Alumni.Density"
"",NA,NA,NA,NA,NA,4,NA
"0",NA,NA,NA,NA,NA,NA,NA
"00601",NA,10833,18088,17408,0.9624,NA,NA
"00602",NA,16353,40859,23919,0.5854,NA,NA
"00603",NA,16323,53162,38809,0.73,NA,NA
"00606",NA,14138,6415,5621,0.8762,NA,NA
"00610",NA,17265,28805,19336,0.6713,NA,NA
"00612",NA,17752,66251,55315,0.8349,NA,NA
"00616",NA,15115,10466,9662,0.9232,NA,NA
"00617",NA,15461,24917,24002,0.9633,NA,NA
"00622",NA,14993,6589,5864,0.89,NA,NA
"00623",NA,17044,44117,38898,0.8817,NA,NA
"00624",NA,15467,24902,21359,0.8577,NA,NA
"00627",NA,19490,34438,30566,0.8876,NA,NA
"00631",NA,9613,1847,1648,0.8923,NA,NA
"00637",NA,14977,24799,21358,0.8612,NA,NA
"00638",NA,12588,18365,17709,0.9643,NA,NA
"00641",NA,15542,30183,26447,0.8762,NA,NA
"00646",NA,27924,38305,28518,0.7445,NA,NA
"00647",NA,13668,5245,4662,0.8888,NA,NA
"00650",NA,15090,14679,13999,0.9537,NA,NA
"00652",NA,14903,3831,3374,0.8807,NA,NA
"00653",NA,13596,13427,11585,0.8628,NA,NA
"00656",NA,15440,20839,18565,0.8909,NA,NA
"00659",NA,19130,41830,39843,0.9525,NA,NA
"00660",NA,21323,17023,7317,0.4298,NA,NA
"00662",NA,16050,43101,28569,0.6628,NA,NA
"00664",NA,15976,16298,13876,0.8514,NA,NA
"00667",NA,13527,25510,22298,0.8741,NA,NA
"00669",NA,11967,28442,27119,0.9535,NA,NA
"00670",NA,14989,9478,8866,0.9354,NA,NA
"00674",NA,18796,43240,37486,0.8669,NA,NA
"00676",NA,15277,39513,31548,0.7984,NA,NA
"00677",NA,16737,15012,8583,0.5717,NA,NA
"00678",NA,14824,27045,19729,0.7295,NA,NA
"00680",NA,15173,54824,30134,0.5496,NA,NA
"00682",NA,15868,31908,15700,0.492,NA,NA
"00683",NA,15030,33050,30035,0.9088,NA,NA
"00685",NA,14686,41403,37394,0.9032,NA,NA
"00687",NA,16086,32484,28015,0.8624,NA,NA
"00688",NA,14135,13251,12134,0.9157,NA,NA
"00690",NA,19688,5906,3591,0.608,NA,NA
"00692",NA,18003,37329,28832,0.7724,NA,NA
"00693",NA,16709,59513,55136,0.9265,NA,NA
"00694",NA,11250,134,121,0.903,NA,NA
"00698",NA,15414,40276,36212,0.8991,NA,NA
"00703",NA,14968,28739,22646,0.788,NA,NA
"00704",NA,12341,8100,4739,0.5851,NA,NA
"00705",NA,16744,25090,20631,0.8223,NA,NA
"00707",NA,17866,11904,5990,0.5032,NA,NA
"00714",NA,15901,19229,10039,0.5221,NA,NA
"00715",NA,13534,3714,1780,0.4793,NA,NA
"00716",NA,18609,31362,22689,0.7235,NA,NA
"00717",NA,11692,18176,12974,0.7138,NA,NA
