"zip","distance"
"56377","149.24"
"56763","156.28"
"55768","196.64"
"55303","167.76"
"58078","6.17"
"58102","2.66"
"56401","128.09"
"56573","59.25"
"58045","39.62"
"55744","154.63"
"55033","238.96"
"57430","87.53"
"56362","140.89"
"55946","255.52"
"68776","303.68"
"56515","63.77"
"58103","2.52"
"55362","178.2"
"58503","189.02"
"55334","201.21"
"55720","202.67"
"56425","122.79"
"58401","91.71"
"55304","200.45"
"56031","248.76"
"55446","201.1"
"54139","438.21"
"56701","90.74"
"55422","207.93"
"55378","219.02"
"56258","173.52"
"55355","160.87"
"1176",NA
"80304","635.17"
"56378","117.03"
"56623","160.35"
"58261","102.59"
"56001","229.64"
"55420","218.46"
"55413","212.26"
"57110","229.22"
"55443","203.3"
"55398","180.53"
"59457","596.35"
"56201","146.11"
"58545","230.44"
"58104","3.65"
"59635","715"
"59714","689.09"
"59602","718.55"
"83856","941.15"
"59868","786.28"
"55038","216.08"
"56560","0.64"
"55331","204.46"
"55433","202.22"
"59901","820.61"
"55371","175.95"
"56479","99.77"
"55057","240.29"
"822",NA
"56374","145.87"
"98370","1207.19"
"56273","136.7"
"58201","73.7"
"56329","158.35"
"57106","231.03"
"55024","232.16"
"55307","202.61"
"55110","217.99"
"55082","227.3"
"56542","68.53"
"55901","283.49"
"56243","154.63"
"55011","198.31"
"59030","680.05"
"56716","63.37"
"56520","41.9"
"55309","179.03"
"55112","215.51"
"59601","720.41"
"55032","200.82"
"55322","203.37"
"56320","147.88"
"59923","876.87"
"56594","23.72"
"16127","914.5"
"2090",NA
"56472","119.13"
"56282","147.87"
"55811","216.72"
"80301","632.44"
"59718","693.54"
"55306","222.65"
"56511","36.96"
"50266","393.27"
"58501","189.73"
"55902","286.1"
"55341","189.77"
"59019","601.76"
"65803","687.34"
"55014","209.93"
"55965","316.91"
"55053","248.29"
"59715","686.49"
"55441","205.27"
"85653","1257.42"
"55407","214.63"
"55123","224.95"
"55992","265.79"
"68144","390.04"
"55437","216.63"
"56537","51.75"
"54601","342.25"
"56484","103.15"
"55432","207.77"
"58047","10.18"
"55411","210.4"
"55129","227.33"
"55113","215.07"
"56529","3.12"
"58054","52.5"
"63012","670.27"
"56324","66.17"
"56547","8.81"
"55991","277.83"
"56278","107.98"
"55060","257.13"
"55302","196.6"
"55105","218.11"
"55051","178.78"
"4347","1309.23"
"55359","194.93"
"6612","1222.01"
"58554","194.95"
"56308","94.45"
"55448","201.96"
"56572","37.95"
"58075","41.36"
"58746","276.17"
"56326","78.23"
"58276","126.31"
"56379","152.83"
"59401","682"
"55305","212.88"
"56231","119.27"
"55447","203.14"
"58773","296.5"
"58012","21.32"
"55128","223.27"
"52101","345.16"
"55414","213.98"
"55328","189.52"
"77047","1193.89"
"55109","220.11"
"55412","208.95"
"92084","1426.3"
"55435","207.09"
