"Final.Status","ID","Year","ACT","GPA","Royal15","Distance.Mhd","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Density","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator","ACT.High","ACT.Low","GPA.High","GPA.Low","Distance.High","Distance.Low"
0,"App ID-100371","2014 Fall",28,4,0,149.24,75050,17801,0.9389,0.0053,0,0,0,0,0,0,0,0,0,1,0,0,0
0,"App ID-100460","2014 Fall",27,3.95,0,156.28,48182,5341,0.8884,0.0026,0,0,0,0,1,0,0,0,0,1,0,0,0
0,"App ID-100467","2014 Fall",26,3.93,0,196.64,52650,2878,0.9764,0.001,0,0,0,0,0,0,0,0,0,1,0,0,0
0,"App ID-100483","2014 Fall",28,3.93,0,167.76,67734,46812,0.9024,0.0021,0,0,0,0,0,0,0,0,0,1,0,0,0
1,"App ID-100553","2014 Fall",28,3.88,0,6.17,69383,28728,0.9095,0.0108,0,0,0,1,0,0,0,0,0,0,0,0,1
1,"App ID-100653","2014 Fall",25,3.51,0,6.17,69383,28728,0.9095,0.0108,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"App ID-100654","2014 Fall",26,3.95,0,2.66,41554,31233,0.8977,0.0116,0,0,0,0,1,0,0,0,0,1,0,0,1
1,"App ID-100733","2014 Fall",23,2.68,0,128.09,48178,29469,0.9582,0.0036,0,0,0,1,0,0,0,0,1,0,1,0,0
0,"App ID-101588","2014 Fall",31,3.88,1,6.17,69383,28728,0.9095,0.0108,0,0,0,0,0,1,1,1,0,0,0,0,1
0,"App ID-101717","2014 Fall",29,4,0,59.25,57331,6338,0.9432,0.012,0,1,0,0,0,0,0,0,0,1,0,0,1
1,"App ID-101822","2014 Fall",29,3.67,1,39.62,55219,2441,0.9853,0.0098,0,0,0,1,0,0,1,0,0,0,0,0,1
1,"App ID-102143","2014 Fall",29,3.44,0,154.63,46796,20242,0.961,0.003,1,0,0,1,0,0,0,0,0,0,0,0,0
0,"App ID-102185","2014 Fall",21,3.51,0,238.96,70281,29612,0.9469,0.0012,1,0,0,0,0,0,0,0,1,0,0,0,0
0,"App ID-102637","2014 Fall",31,4,0,87.53,56719,2226,0.982,0.0013,1,0,0,0,0,0,0,1,0,1,0,0,0
1,"App ID-102646","2014 Fall",28,3.94,0,140.89,55396,5635,0.9886,0.0039,0,0,0,0,0,0,0,0,0,1,0,0,0
0,"App ID-102798","2014 Fall",30,4,0,255.52,57604,3219,0.9699,0.0053,0,0,0,0,0,0,0,1,0,1,0,0,0
0,"App ID-102809","2014 Fall",28,3.9,0,303.68,42126,14899,0.626,2e-04,1,1,0,0,0,1,1,0,0,0,0,1,0
0,"App ID-102884","2014 Fall",21,3.03,0,63.77,51731,3111,0.9576,0.0116,0,0,0,1,0,0,0,0,1,0,0,0,1
0,"App ID-102913","2014 Fall",19,3.29,0,178.2,76161,19010,0.9317,0.0022,0,0,0,0,0,0,0,0,1,0,0,0,0
0,"App ID-102915","2014 Fall",18,3.53,0,189.02,77425,28439,0.9275,0.005,0,0,0,0,0,0,1,0,1,0,0,0,0
1,"App ID-102919","2014 Fall",25,3.76,0,201.21,47368,2816,0.9673,7e-04,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"App ID-103025","2014 Fall",24,3.79,0,202.67,50020,16754,0.8314,0.0012,0,1,0,1,0,0,0,0,1,0,0,0,0
0,"App ID-103354","2014 Fall",28,3.81,0,122.79,58310,7646,0.9912,0.0093,0,0,0,1,0,0,0,0,0,0,0,0,0
1,"App ID-103356","2014 Fall",26,3.98,0,91.71,49515,17287,0.9498,0.0027,0,0,0,0,0,0,0,0,0,1,0,0,0
1,"App ID-103390","2014 Fall",19,2.94,0,200.45,92392,46901,0.9383,0.0024,0,0,0,1,0,0,0,0,1,0,1,0,0
0,"App ID-103537","2014 Fall",20,3.31,0,248.76,53636,12141,0.9795,0.0012,0,0,0,0,0,0,0,0,1,0,0,0,0
0,"App ID-103584","2014 Fall",21,3.79,0,201.1,100777,21210,0.7743,0.0053,0,1,0,0,0,0,0,0,1,0,0,0,0
0,"App ID-103988","2014 Fall",23,3.44,0,438.21,55045,3165,0.964,4e-04,0,0,0,0,0,0,0,0,1,0,0,1,0
1,"App ID-104024","2014 Fall",23,3.42,0,90.74,47855,12691,0.9344,0.0048,0,1,0,1,0,0,0,0,1,0,0,0,0
0,"App ID-104405","2014 Fall",30,3.48,0,207.93,64179,28585,0.8073,0.0033,0,0,0,0,0,0,0,1,0,0,0,0,0
0,"App ID-104454","2014 Fall",28,3.47,0,219.02,95024,28035,0.8301,0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"App ID-104569","2014 Fall",20,3.48,1,173.52,49628,15523,0.8847,0.0024,0,0,0,1,0,0,1,0,1,0,0,0,0
0,"App ID-104690","2014 Fall",21,3.56,0,160.87,53723,9681,0.9721,0.0052,0,0,0,1,0,0,0,0,1,0,0,0,0
0,"App ID-104703","2014 Fall",24,3.64,0,200.45,92392,46901,0.9383,0.0024,0,0,0,1,0,0,0,0,1,0,0,0,0
1,"App ID-104917","2014 Fall",32,3.67,0,635.17,77639,26471,0.9128,2e-04,0,0,0,1,0,0,0,1,0,0,0,1,0
1,"App ID-105037","2014 Fall",20,3.16,0,117.03,53818,7935,0.9442,0.0037,0,1,0,1,0,0,0,0,1,0,0,0,0
0,"App ID-105091","2014 Fall",24,3.67,0,160.35,42540,2454,0.9377,0.0029,0,1,0,1,0,0,0,0,1,0,0,0,0
0,"App ID-105138","2015 Fall",26,3.91,0,102.59,61625,1202,0.8968,0.0033,0,0,0,0,0,0,0,0,0,1,0,0,0
0,"App ID-105141","2015 Fall",21,3.31,0,102.59,61625,1202,0.8968,0.0033,0,0,0,0,0,0,1,0,1,0,0,0,0
0,"App ID-105161","2014 Fall",23,3.75,0,189.02,77425,28439,0.9275,0.005,0,0,0,0,0,0,0,0,1,0,0,0,0
0,"App ID-105171","2014 Fall",22,3.37,0,229.64,46354,47040,0.9093,0.0012,0,0,0,0,0,0,0,0,1,0,0,0,0
0,"App ID-105176","2014 Fall",20,3.22,0,218.46,51150,22777,0.7306,0.0018,0,0,0,0,1,0,0,0,1,0,0,0,0
0,"App ID-105193","2014 Fall",16,3.33,0,212.26,45935,12852,0.7323,0.0019,0,0,0,0,0,0,0,0,1,0,0,0,0
0,"App ID-105270","2014 Fall",33,4,0,229.22,65815,13531,0.8924,0.0018,1,0,0,1,0,0,0,1,0,1,0,0,0
0,"App ID-105288","2014 Fall",22,3.1,1,203.3,73100,32771,0.5458,0.0015,0,0,0,0,1,0,1,0,1,0,0,0,0
0,"App ID-105294","2014 Fall",23,3.81,0,180.53,72725,16022,0.9701,0.0017,0,0,0,0,0,0,0,0,1,0,0,0,0
0,"App ID-105360","2014 Fall",21,3.25,0,596.35,42500,9280,0.9658,0.0013,0,1,0,0,0,0,0,0,1,0,0,1,0
0,"App ID-105362","2014 Fall",22,3.09,0,596.35,42500,9280,0.9658,0.0013,0,1,0,0,0,0,0,0,1,0,0,1,0
0,"App ID-105375","2014 Fall",21,2.82,0,146.11,46132,22990,0.8633,0.006,0,0,0,1,0,0,0,0,1,0,1,0,0
1,"App ID-105410","2014 Fall",24,3.96,0,230.44,74441,3657,0.9467,8e-04,1,1,0,0,0,0,0,0,1,1,0,0,0
0,"App ID-105416","2014 Fall",21,3.09,0,3.65,66172,31429,0.9349,0.0193,0,0,0,1,0,0,0,0,1,0,0,0,1
0,"App ID-105496","2014 Fall",22,3.22,0,715,58094,7550,0.9192,8e-04,0,0,0,1,0,0,0,0,1,0,0,1,0
