"Application: Application ID","Scholarship: Record Type","Banner Scholarship Status","Banner MPS Status","Banner PDS Status","Banner Theatre Scholarship Status","Banner SpeechDebate Scholarship Status","Banner VisualArts Scholarship Status"
"App ID-157523","Music Performance Scholarship","C","C","","","",""
"App ID-191186","Music Performance Scholarship","W1","W1","W","","",""
"App ID-155695","Music Performance Scholarship","N","N","W","","N",""
"App ID-150496","Music Performance Scholarship","","","","","",""
"App ID-224618","Music Performance Scholarship","W1","W1","","","",""
"App ID-228017","Music Performance Scholarship","N","N","","","",""
"App ID-240041","Music Performance Scholarship","W1","W1","","","",""
"App ID-131533","Music Performance Scholarship","","","","","",""
"App ID-123514","Music Performance Scholarship","W1","W1","W","","",""
"App ID-201388","Music Performance Scholarship","W1","W1","","","W3",""
"App ID-239904","Music Performance Scholarship","W1","W1","W","","",""
"App ID-174719","Music Performance Scholarship","W1","W1","","","",""
"App ID-145049","Music Performance Scholarship","N","N","","","",""
"App ID-230593","Music Performance Scholarship","N","N","","","",""
"App ID-156931","Music Performance Scholarship","W2","W2","W","","",""
"App ID-131639","Music Performance Scholarship","W1","W1","W","","",""
"App ID-124517","Music Performance Scholarship","","","","","",""
"App ID-122383","Music Performance Scholarship","W1","W1","","","",""
"App ID-137545","Music Performance Scholarship","W1","W1","","","",""
"App ID-124375","Music Performance Scholarship","W1","W1","W","","",""
"App ID-75790","Music Performance Scholarship","W1","W","","","",""
"App ID-75861","Music Performance Scholarship","W1","W","N","","",""
"App ID-75267","Music Performance Scholarship","","","","","",""
"App ID-129520","Music Performance Scholarship","W1","W1","","","",""
"App ID-75506","Music Performance Scholarship","N","N","","","",""
"App ID-75702","Music Performance Scholarship","W1","W","N","","",""
"App ID-106311","Music Performance Scholarship","W1","W","","","",""
"App ID-75882","Music Performance Scholarship","W1","W","W","","N",""
"App ID-75817","Music Performance Scholarship","N","N","W","","",""
"App ID-75322","Music Performance Scholarship","N","N","","","",""
"App ID-76693","Music Performance Scholarship","W1","W","","","",""
"App ID-75413","Music Performance Scholarship","W1","W","W","","",""
"App ID-76619","Music Performance Scholarship","W1","W","","","",""
"App ID-94938","Music Performance Scholarship","W1","W","","W","",""
"App ID-75437","Music Performance Scholarship","W1","W","","","",""
"App ID-81020","Music Performance Scholarship","W1","W","W","","",""
"App ID-75278","Music Performance Scholarship","N","N","","","",""
"App ID-75808","Music Performance Scholarship","N","N","N","","",""
"App ID-105867","Music Performance Scholarship","N","N","N","","",""
"App ID-75256","Music Performance Scholarship","N","N","","","",""
"App ID-120967","Music Performance Scholarship","W1","W","W","","",""
"App ID-81433","Music Performance Scholarship","W1","N","W","","",""
"App ID-81947","Music Performance Scholarship","N","N","","","",""
"App ID-105972","Music Performance Scholarship","","","","","",""
"App ID-75873","Music Performance Scholarship","N","N","N","W","",""
"App ID-75361","Music Performance Scholarship","","","","","",""
"App ID-75294","Music Performance Scholarship","W1","W","N","","",""
"App ID-76781","Music Performance Scholarship","W1","W","","","",""
"App ID-75811","Music Performance Scholarship","W1","W","W","","",""
"App ID-96023","Music Performance Scholarship","W1","W","N","","",""
"App ID-127282","Music Performance Scholarship","","","","","",""
"App ID-76768","Music Performance Scholarship","W1","N","W","","",""
"App ID-75582","Music Performance Scholarship","W1","W","","","",""
"App ID-75205","Music Performance Scholarship","N","N","W","","",""
"App ID-76759","Music Performance Scholarship","N","N","","","",""
"App ID-75326","Music Performance Scholarship","W1","W","","","",""
"App ID-75592","Music Performance Scholarship","","","","","N",""
"App ID-85050","Music Performance Scholarship","","","","","",""
"App ID-75921","Music Performance Scholarship","","","N","N","",""
"App ID-127040","Music Performance Scholarship","W1","W","","","",""
"App ID-75497","Music Performance Scholarship","W1","W","","","",""
"App ID-94829","Music Performance Scholarship","N","N","","N","",""
"App ID-76268","Music Performance Scholarship","W1","W","","","",""
"App ID-88969","Music Performance Scholarship","N","","","","",""
"App ID-75950","Music Performance Scholarship","W1","W","W","","","W"
"App ID-75203","Music Performance Scholarship","N","N","N","W","",""
"App ID-75726","Music Performance Scholarship","N","N","W","","",""
"App ID-75515","Music Performance Scholarship","W1","W","W","","",""
"App ID-191975","Music Performance Scholarship","W1","W1","W","","",""
"App ID-185686","Music Performance Scholarship","W1","W1","","","",""
"App ID-155808","Music Performance Scholarship","W6","W6","","","",""
"App ID-156490","Music Performance Scholarship","W1","W1","","","",""
"App ID-75661","Music Performance Scholarship","","","","","",""
"App ID-187237","Music Performance Scholarship","W6","W6","","","",""
"App ID-75427","Music Performance Scholarship","W1","W","N","","",""
"App ID-122373","Music Performance Scholarship","W1","W1","","","",""
"App ID-227953","Music Performance Scholarship","N","N","W","","",""
"App ID-235591","Music Performance Scholarship","","","","","",""
"App ID-76854","Music Performance Scholarship","","","N","N","",""
"App ID-102637","Music Performance Scholarship","","","W","","",""
"App ID-127235","Music Performance Scholarship","W4","W4","W","","",""
"App ID-80593","Music Performance Scholarship","N","N","","","",""
"App ID-75346","Music Performance Scholarship","","","N","","",""
"App ID-75569","Music Performance Scholarship","W1","W","","","",""
"App ID-75680","Music Performance Scholarship","","","","","",""
"App ID-75461","Music Performance Scholarship","W1","W","W","","",""
"App ID-75080","Music Performance Scholarship","","","","","",""
"App ID-126848","Music Performance Scholarship","","","","","",""
"App ID-75473","Music Performance Scholarship","W1","","N","N","",""
"App ID-75436","Music Performance Scholarship","W1","W","W","","",""
"App ID-75114","Music Performance Scholarship","W1","C","W","","",""
"App ID-75089","Music Performance Scholarship","W1","N","N","","",""
"App ID-75198","Music Performance Scholarship","N","N","","","",""
"App ID-120958","Music Performance Scholarship","W1","W","","","",""
"App ID-75470","Music Performance Scholarship","W1","W","","","",""
"App ID-75920","Music Performance Scholarship","N","N","","","",""
