"ID","Year","Contact.Status","Admission.Substatus","Major.Interest","ACT","GPA","Date.App.Submitted","Date.App.Completed","Legacy","Co.Curricular","Gender","Ethnicity","Religious.Preference","HS.Name","City","State","Zip","Number.Campus.Visits","Royal15","Royal.ID","First.Visit","Last.Visit","Ind.Visit","Group.Visit","Schol.Visit","Award.Status","Comprehensive.Cost","Total.Gift","Total.Institutional.Gift","Gross.Need","Scholarship.Status"
"App ID-100371","2014 Fall",": Cancel","Cancel: Admit","Undecided",28,4,"12/22/2013","1/6/2014","","Theatre","Female","White","","Sauk Rapids-Rice HS","Sartell","MN","56377",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-100460","2014 Fall",": Cancel","Cancel: Admit","Undecided",27,3.95,"11/7/2013","","","Service-Learning; Student Government","Female","Hispanic or Latino","Not Reported","Warroad HS","Warroad","MN","56763-3122",2,0,NA,2013-10-23,2013-11-23,2,0,0,NA,NA,NA,NA,NA,NA
"App ID-100467","2014 Fall",": Cancel","Cancel: Admit","Nursing",26,3.93,"11/1/2013","","","","Female","White","","Cherry HS","Mountain Iron","MN","55768-8000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-100483","2014 Fall",": Cancel","Cancel: Admit","Undecided",28,3.93,"11/11/2013","11/25/2013","","","Female","White","","Elk River Area HS","Ramsey","MN","55303-3400",2,0,NA,2013-10-12,2013-11-08,2,0,0,"Award Complete",41484,16000,16000,0,NA
"App ID-100553","2014 Fall",": Deposit","Paid","Pre-Medicine",28,3.88,"12/4/2013","1/6/2014","","Football","Male","White","","Oak Grove Lutheran HS","West Fargo","ND","58078-8221",4,0,NA,2013-09-07,2014-02-07,2,0,1,"Award Complete",41484,16000,16000,0,2
"App ID-100653","2014 Fall",": Deposit","Paid","",25,3.51,"11/11/2013","12/23/2013","","","Female","White","","Oak Grove Lutheran HS","West Fargo","ND","58078",3,0,NA,2013-10-09,2014-02-14,1,0,1,NA,NA,NA,NA,NA,3
"App ID-100654","2014 Fall",": Deposit","Paid","Pre-Medicine",26,3.95,"11/25/2013","11/27/2013","","","Female","Asian","","North HS","Fargo","ND","58102",2,0,NA,2014-02-07,2014-02-07,0,0,1,"Award Complete",41484,17820,17820,19639,2
"App ID-100733","2014 Fall",": Deposit","Paid","Undecided",23,2.68,"2/17/2014","2/17/2014","","","Male","White","","Brainerd Sr HS","Brainerd","MN","56401-6899",3,0,NA,2013-09-21,2013-12-16,2,0,0,"Award Complete",41484,17540,17540,18449,NA
"App ID-101588","2014 Fall",": Cancel","Cancel: Admit","Math",31,3.88,"4/16/2014","","","","Female","White","Lutheran","West Fargo HS","West Fargo","ND","58078-5417",0,0,20127393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-101717","2014 Fall",": Cancel","Cancel: Admit","Chemistry",29,4,"11/25/2013","","","Cross Country","Female","White","","Perham HS","Perham","MN","56573-2400",1,0,NA,2013-11-22,2013-11-22,1,0,0,NA,NA,NA,NA,NA,NA
"App ID-101822","2014 Fall",": Deposit","Paid","Business: Management Information Systems",29,3.67,"4/14/2014","","","","Male","White","Catholic","Hillsboro HS","Hillsboro","ND","58045-4607",1,0,20137784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-102143","2014 Fall",": Deposit","Paid","Music",29,3.44,"10/30/2013","","","Choir; Service-Learning","Male","White","","Grand Rapids HS","Grand Rapids","MN","55744-8938",1,0,NA,2014-01-23,2014-01-23,0,0,1,"Award Complete",41484,26080,21230,36433,3
"App ID-102185","2014 Fall",": Cancel","Cancel: Admit","Music: Voice",21,3.51,"11/8/2013","12/3/2013","","","Female","White","","Hastings HS","Hastings","MN","55033-9352",1,0,NA,2013-08-23,2013-08-23,1,0,0,NA,NA,NA,NA,NA,NA
"App ID-102637","2014 Fall",": Cancel","Cancel: Deposit","Undecided",31,4,"11/25/2013","12/9/2013","","Choir","Female","Race and Ethnicity unknown","","Britton-Hecla HS","Britton","SD","57430",2,0,NA,2013-11-22,2014-02-03,1,0,1,"Award Complete",41484,17500,17500,15615,3
"App ID-102646","2014 Fall",": Deposit","Paid","Nursing",28,3.94,"12/3/2013","12/9/2013","","","Female","White","","Paynesville Area Schools","Paynesville","MN","56362",3,0,NA,2014-02-07,2014-04-17,0,0,1,"Award Complete",41484,30720,20600,43765,3
"App ID-102798","2014 Fall",": Cancel","Cancel: Admit","",30,4,"12/2/2013","1/14/2014","","","Female","White","","Kenyon-Wanamingo HS","Kenyon","MN","55946",1,0,NA,2013-10-17,2013-10-17,0,1,0,"Award Complete",41484,18990,18990,19992,NA
"App ID-102809","2014 Fall",": Cancel","Cancel: Admit","",28,3.9,"11/18/2013","12/2/2013","","Band; Basketball; Cross Country; Ministry; Other; Service-Learning; Track & Field","Female","White","Lutheran (Missouri Synod)","South Sioux City HS","South Sioux City","NE","68776",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-102884","2014 Fall",": Cancel","Cancel: Admit","Undecided",21,3.03,"12/19/2013","1/6/2014","","","Male","White","","Battle Lake HS","Battle Lake","MN","56515-9573",1,0,NA,2014-01-20,2014-01-20,1,0,0,NA,NA,NA,NA,NA,NA
"App ID-102913","2014 Fall",": Cancel","Cancel: Admit","Pre-Physical Therapy",19,3.29,"10/30/2013","","","Ministry; Service-Learning","Female","","","Monticello HS","Monticello","MN","55362-3024",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-102915","2014 Fall",": Cancel","Cancel: Admit","Physical Education",18,3.53,"10/30/2013","12/13/2013","","Service-Learning; Student Government","Female","White","Other","Century HS","Bismarck","ND","58503-8211",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-102919","2014 Fall",": Deposit","Paid","Undecided",25,3.76,"11/4/2013","12/31/2013","","Ministry","Female","White","","Sibley East Sr HS","Gaylord","MN","55334-2272",2,0,NA,2014-03-22,2014-03-22,0,1,0,"Award Complete",41484,23826,21900,44224,NA
"App ID-103025","2014 Fall",": Deposit","Paid","Accounting",24,3.79,"12/19/2013","","","Track & Field","Male","White","","Cloquet Sr HS","Cloquet","MN","55720",2,0,NA,2014-03-22,2014-04-15,1,1,0,"Award Complete",41484,26350,19380,31437,NA
"App ID-103354","2014 Fall",": Cancel","Cancel: Admit","",28,3.81,"11/12/2013","11/12/2013","","","Male","","","Brainerd Sr HS","Baxter","MN","56425",1,0,NA,2013-07-29,2013-07-29,1,0,0,NA,NA,NA,NA,NA,NA
"App ID-103356","2014 Fall",": Deposit","Paid","Pre-Optometry",26,3.98,"10/31/2013","","","","Female","White","","Jamestown HS","Jamestown","ND","58401",4,0,NA,2013-08-15,2014-03-22,1,1,1,"Award Complete",41484,0,0,649,3
"App ID-103390","2014 Fall",": Deposit","Paid","Nursing",19,2.94,"11/27/2013","","","Soccer","Male","","","Anoka HS","Andover","MN","55304",2,0,NA,2014-01-30,2014-01-30,1,0,0,"Award Complete",41484,25884,11140,44474,NA
"App ID-103537","2014 Fall",": Cancel","Cancel: Admit","Elementary Education",20,3.31,"11/6/2013","","","","Female","","","Fairmont HS","Fairmont","MN","56031",1,0,NA,2013-08-29,2013-08-29,1,0,0,"Award Complete",41484,19020,19020,33619,NA
"App ID-103584","2014 Fall",": Cancel","Cancel: Admit","Business - Organizational Leadership",21,3.79,"1/2/2014","1/27/2014","","Basketball","Female","White","","Hopkins HS","Plymouth","MN","55446",1,0,NA,2013-10-12,2013-10-12,1,0,0,"Award Complete",41484,35356,30230,41032,NA
"App ID-103988","2014 Fall",": Cancel","Cancel: Admit","Undecided",23,3.44,"2/3/2014","2/19/2014","","","Female","White","","Home School","Lena","WI","54139",0,0,NA,NA,NA,NA,NA,NA,"Award Complete",41484,32430,32430,40851,NA
"App ID-104024","2014 Fall",": Deposit","Paid","Undecided",23,3.42,"11/1/2013","12/9/2013","","Cross Country; Track & Field","Male","White","","Lincoln Sr HS","Thief River Falls","MN","56701",2,0,NA,2014-04-05,2014-04-05,1,0,0,"Award Complete",41484,20430,20430,32963,NA
