"Final.Status","ID","Year","ACT","GPA","Distance.Mhd","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Density","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator","App","Deposited","FAFSA.Received","CREDO.Invited","CREDO.Accepted","Regular.Visits.by.Date","Performance.Scholarship.Event","Academic.Scholarship.Event","Other.Admits.Density"
0,"App ID-100371","2014 Fall",28,4,149.24,75.05,17.801,93.89,0.53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0561766192910511
0,"App ID-100460","2014 Fall",27,3.95,156.28,48.182,5.341,88.84,0.26,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0.0936154278225051
0,"App ID-100467","2014 Fall",26,3.93,196.64,52.65,2.878,97.64,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0347463516330785
0,"App ID-100483","2014 Fall",28,3.93,167.76,67.734,46.812,90.24,0.21,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0.0170896351362898
1,"App ID-100553","2014 Fall",28,3.88,6.17,69.383,28.728,90.95,1.08,0,0,0,1,0,0,0,1,1,0,0,0,2,0,1,0.0487329434697856
1,"App ID-100653","2014 Fall",25,3.51,6.17,69.383,28.728,90.95,1.08,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0.0487329434697856
1,"App ID-100654","2014 Fall",26,3.95,2.66,41.554,31.233,89.77,1.16,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.0640348349502129
1,"App ID-100733","2014 Fall",23,2.68,128.09,48.178,29.469,95.82,0.36,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0.0576877396586243
0,"App ID-101588","2014 Fall",31,3.88,6.17,69.383,28.728,90.95,1.08,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0487329434697856
0,"App ID-101717","2014 Fall",29,4,59.25,57.331,6.338,94.32,1.2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.173556326917009
1,"App ID-101822","2014 Fall",29,3.67,39.62,55.219,2.441,98.53,0.98,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0819336337566571
1,"App ID-102143","2014 Fall",29,3.44,154.63,46.796,20.242,96.1,0.3,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.0197608931923723
0,"App ID-102185","2014 Fall",21,3.51,238.96,70.281,29.612,94.69,0.12,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0202620559232743
0,"App ID-102637","2014 Fall",31,4,87.53,56.719,2.226,98.2,0.13,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0.0898472596585804
1,"App ID-102646","2014 Fall",28,3.94,140.89,55.396,5.635,98.86,0.39,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.124223602484472
0,"App ID-102798","2014 Fall",30,4,255.52,57.604,3.219,96.99,0.53,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.12426219322771
0,"App ID-102809","2014 Fall",28,3.9,303.68,42.126,14.899,62.6,0.02,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0067118598563662
0,"App ID-102884","2014 Fall",21,3.03,63.77,51.731,3.111,95.76,1.16,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0964320154291225
0,"App ID-102913","2014 Fall",19,3.29,178.2,76.161,19.01,93.17,0.22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0210415570752236
0,"App ID-102915","2014 Fall",18,3.53,189.02,77.425,28.439,92.75,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0492281725799079
1,"App ID-102919","2014 Fall",25,3.76,201.21,47.368,2.816,96.73,0.07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0355113636363636
1,"App ID-103025","2014 Fall",24,3.79,202.67,50.02,16.754,83.14,0.12,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0.011937447773666
0,"App ID-103354","2014 Fall",28,3.81,122.79,58.31,7.646,99.12,0.93,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0784724038713053
1,"App ID-103356","2014 Fall",26,3.98,91.71,49.515,17.287,94.98,0.27,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0.0347081622028114
1,"App ID-103390","2014 Fall",19,2.94,200.45,92.392,46.901,93.83,0.24,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0319822605061726
0,"App ID-103537","2014 Fall",20,3.31,248.76,53.636,12.141,97.95,0.12,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0164731076517585
0,"App ID-103584","2014 Fall",21,3.79,201.1,100.777,21.21,77.43,0.53,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0235737859500236
0,"App ID-103988","2014 Fall",23,3.44,438.21,55.045,3.165,96.4,0.04,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0631911532385466
1,"App ID-104024","2014 Fall",23,3.42,90.74,47.855,12.691,93.44,0.48,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0945551965960129
0,"App ID-104405","2014 Fall",30,3.48,207.93,64.179,28.585,80.73,0.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0314850446038132
0,"App ID-104454","2014 Fall",28,3.47,219.02,95.024,28.035,83.01,0.27,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0178348492955235
0,"App ID-104569","2014 Fall",20,3.48,173.52,49.628,15.523,88.47,0.24,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0128841074534562
0,"App ID-104690","2014 Fall",21,3.56,160.87,53.723,9.681,97.21,0.52,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0826360913128809
0,"App ID-104703","2014 Fall",24,3.64,200.45,92.392,46.901,93.83,0.24,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.0319822605061726
1,"App ID-104917","2014 Fall",32,3.67,635.17,77.639,26.471,91.28,0.02,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0.00377771901325979
1,"App ID-105037","2014 Fall",20,3.16,117.03,53.818,7.935,94.42,0.37,0,1,0,1,0,0,0,1,1,0,0,0,2,0,0,0.138626339004411
0,"App ID-105091","2014 Fall",24,3.67,160.35,42.54,2.454,93.77,0.29,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0407497962510187
0,"App ID-105138","2015 Fall",26,3.91,102.59,61.625,1.202,89.68,0.33,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.249584026622296
0,"App ID-105141","2015 Fall",21,3.31,102.59,61.625,1.202,89.68,0.33,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.249584026622296
0,"App ID-105161","2014 Fall",23,3.75,189.02,77.425,28.439,92.75,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0492281725799079
0,"App ID-105171","2014 Fall",22,3.37,229.64,46.354,47.04,90.93,0.12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0148809523809524
0,"App ID-105176","2014 Fall",20,3.22,218.46,51.15,22.777,73.06,0.18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.017561575273302
0,"App ID-105193","2014 Fall",16,3.33,212.26,45.935,12.852,73.23,0.19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00778089013383131
0,"App ID-105270","2014 Fall",33,4,229.22,65.815,13.531,89.24,0.18,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0.036952183874067
0,"App ID-105288","2014 Fall",22,3.1,203.3,73.1,32.771,54.58,0.15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.00610295688260962
0,"App ID-105294","2014 Fall",23,3.81,180.53,72.725,16.022,97.01,0.17,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.031207090250905
0,"App ID-105360","2014 Fall",21,3.25,596.35,42.5,9.28,96.58,0.13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.021551724137931
0,"App ID-105362","2014 Fall",22,3.09,596.35,42.5,9.28,96.58,0.13,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.021551724137931
0,"App ID-105375","2014 Fall",21,2.82,146.11,46.132,22.99,86.33,0.6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0695954762940409
1,"App ID-105410","2014 Fall",24,3.96,230.44,74.441,3.657,94.67,0.08,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.109379272627837
0,"App ID-105416","2014 Fall",21,3.09,3.65,66.172,31.429,93.49,1.93,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.114543892583283
0,"App ID-105496","2014 Fall",22,3.22,715,58.094,7.55,91.92,0.08,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0132450331125828
0,"App ID-105505","2014 Fall",27,4,689.09,57.602,19.259,96.73,0.08,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0207695103587933
0,"App ID-105593","2014 Fall",24,2.97,718.55,65.109,25.38,94.67,0.07,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0118203309692671
1,"App ID-105618","2014 Fall",32,3.49,941.15,38.415,6.259,94.15,0.04,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.015976993129893
0,"App ID-105635","2014 Fall",33,4,786.28,39.265,1.609,93.97,0.19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0621504039776258
0,"App ID-105699","2014 Fall",23,3.45,216.08,84.662,21.393,92.31,0.17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00467442621418221
0,"App ID-105704","2014 Fall",22,3.38,0.64,53.139,41.737,90.84,2.28,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.124589692598893
