"Final.Status","ID","Year","ACT","GPA","HS.Percentile","Royal15","Cost.of.Attendance","Total.Gift","Total.Institutional.Gift","Gross.Need","Distance.Mhd","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Pop","Zip.Alumni.Density","HS.Size","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator"
0,"App ID-100371","2014 Fall",28,4,NA,0,NA,0,0,0,149.24,75050,17801,0.9389,94,0.0053,1078,0,0,0,0,0,0,0
0,"App ID-100460","2014 Fall",27,3.95,NA,0,NA,0,0,0,156.28,48182,5341,0.8884,14,0.0026,318,0,0,0,0,1,0,0
0,"App ID-100467","2014 Fall",26,3.93,NA,0,NA,0,0,0,196.64,52650,2878,0.9764,3,0.001,83,0,0,0,0,0,0,0
0,"App ID-100483","2014 Fall",28,3.93,NA,0,41484,16000,16000,0,167.76,67734,46812,0.9024,98,0.0021,NA,0,0,0,0,0,0,0
1,"App ID-100553","2014 Fall",28,3.88,63,0,41484,16000,16000,0,6.17,69383,28728,0.9095,310,0.0108,NA,0,0,0,1,0,0,0
1,"App ID-100653","2014 Fall",25,3.51,43,0,NA,0,0,0,6.17,69383,28728,0.9095,310,0.0108,NA,0,0,0,0,0,0,0
1,"App ID-100654","2014 Fall",26,3.95,88,0,41484,17820,17820,19639,2.66,41554,31233,0.8977,362,0.0116,1671,0,0,0,0,1,0,0
1,"App ID-100733","2014 Fall",23,2.68,46,0,41484,17540,17540,18449,128.09,48178,29469,0.9582,105,0.0036,NA,0,0,0,1,0,0,0
0,"App ID-101588","2014 Fall",31,3.88,NA,1,NA,0,0,0,6.17,69383,28728,0.9095,310,0.0108,6335,0,0,0,0,0,1,1
0,"App ID-101717","2014 Fall",29,4,NA,0,NA,0,0,0,59.25,57331,6338,0.9432,76,0.012,413,0,1,0,0,0,0,0
1,"App ID-101822","2014 Fall",29,3.67,67,1,NA,0,0,0,39.62,55219,2441,0.9853,24,0.0098,404,0,0,0,1,0,0,1
1,"App ID-102143","2014 Fall",29,3.44,58,0,41484,26080,21230,36433,154.63,46796,20242,0.961,61,0.003,947,1,0,0,1,0,0,0
0,"App ID-102185","2014 Fall",21,3.51,NA,0,NA,0,0,0,238.96,70281,29612,0.9469,35,0.0012,1452,1,0,0,0,0,0,0
0,"App ID-102637","2014 Fall",31,4,NA,0,41484,17500,17500,15615,87.53,56719,2226,0.982,3,0.0013,NA,1,0,0,0,0,0,0
1,"App ID-102646","2014 Fall",28,3.94,0,0,41484,30720,20600,43765,140.89,55396,5635,0.9886,22,0.0039,NA,0,0,0,0,0,0,0
0,"App ID-102798","2014 Fall",30,4,NA,0,41484,18990,18990,19992,255.52,57604,3219,0.9699,17,0.0053,230,0,0,0,0,0,0,0
0,"App ID-102809","2014 Fall",28,3.9,NA,0,NA,0,0,0,303.68,42126,14899,0.626,NA,NA,NA,1,1,0,0,0,1,1
0,"App ID-102884","2014 Fall",21,3.03,NA,0,NA,0,0,0,63.77,51731,3111,0.9576,36,0.0116,130,0,0,0,1,0,0,0
0,"App ID-102913","2014 Fall",19,3.29,NA,0,NA,0,0,0,178.2,76161,19010,0.9317,41,0.0022,1087,0,0,0,0,0,0,0
0,"App ID-102915","2014 Fall",18,3.53,NA,0,NA,0,0,0,189.02,77425,28439,0.9275,142,0.005,NA,0,0,0,0,0,0,1
1,"App ID-102919","2014 Fall",25,3.76,82,0,41484,23826,21900,44224,201.21,47368,2816,0.9673,2,7e-04,NA,0,0,0,0,0,0,0
1,"App ID-103025","2014 Fall",24,3.79,0,0,41484,26350,19380,31437,202.67,50020,16754,0.8314,20,0.0012,NA,0,1,0,1,0,0,0
0,"App ID-103354","2014 Fall",28,3.81,NA,0,NA,0,0,0,122.79,58310,7646,0.9912,71,0.0093,NA,0,0,0,1,0,0,0
1,"App ID-103356","2014 Fall",26,3.98,92,0,41484,0,0,649,91.71,49515,17287,0.9498,47,0.0027,2185,0,0,0,0,0,0,0
1,"App ID-103390","2014 Fall",19,2.94,51,0,41484,25884,11140,44474,200.45,92392,46901,0.9383,111,0.0024,2157,0,0,0,1,0,0,0
0,"App ID-103537","2014 Fall",20,3.31,NA,0,41484,19020,19020,33619,248.76,53636,12141,0.9795,14,0.0012,494,0,0,0,0,0,0,0
0,"App ID-103584","2014 Fall",21,3.79,NA,0,41484,35356,30230,41032,201.1,100777,21210,0.7743,112,0.0053,2070,0,1,0,0,0,0,0
0,"App ID-103988","2014 Fall",23,3.44,NA,0,41484,32430,32430,40851,438.21,55045,3165,0.964,NA,NA,NA,0,0,0,0,0,0,0
1,"App ID-104024","2014 Fall",23,3.42,64,0,41484,20430,20430,32963,90.74,47855,12691,0.9344,61,0.0048,NA,0,1,0,1,0,0,0
0,"App ID-104405","2014 Fall",30,3.48,NA,0,NA,0,0,0,207.93,64179,28585,0.8073,93,0.0033,1789,0,0,0,0,0,0,0
0,"App ID-104454","2014 Fall",28,3.47,NA,0,41484,13500,13500,9282,219.02,95024,28035,0.8301,77,0.0027,2154,0,0,0,0,0,0,0
0,"App ID-104569","2014 Fall",20,3.48,NA,1,41484,0,0,40932,173.52,49628,15523,0.8847,38,0.0024,NA,0,0,0,1,0,0,1
0,"App ID-104690","2014 Fall",21,3.56,NA,0,41484,0,0,19700,160.87,53723,9681,0.9721,50,0.0052,NA,0,0,0,1,0,0,0
0,"App ID-104703","2014 Fall",24,3.64,NA,0,41484,19770,19770,29082,200.45,92392,46901,0.9383,111,0.0024,1614,0,0,0,1,0,0,0
1,"App ID-104917","2014 Fall",32,3.67,0,0,41484,29160,26680,42871,635.17,77639,26471,0.9128,5,2e-04,NA,0,0,0,1,0,0,0
1,"App ID-105037","2014 Fall",20,3.16,45,0,41484,20864,10120,44444,117.03,53818,7935,0.9442,29,0.0037,439,0,1,0,1,0,0,0
0,"App ID-105091","2014 Fall",24,3.67,NA,0,41484,19600,19600,24504,160.35,42540,2454,0.9377,7,0.0029,NA,0,1,0,1,0,0,0
0,"App ID-105138","2015 Fall",26,3.91,77,0,NA,0,0,0,102.59,61625,1202,0.8968,4,0.0033,215,0,0,0,0,0,0,0
0,"App ID-105141","2015 Fall",21,3.31,38,0,NA,0,0,0,102.59,61625,1202,0.8968,4,0.0033,215,0,0,0,0,0,0,1
0,"App ID-105161","2014 Fall",23,3.75,NA,0,NA,0,0,0,189.02,77425,28439,0.9275,142,0.005,NA,0,0,0,0,0,0,0
0,"App ID-105171","2014 Fall",22,3.37,NA,0,NA,0,0,0,229.64,46354,47040,0.9093,56,0.0012,784,0,0,0,0,0,0,0
0,"App ID-105176","2014 Fall",20,3.22,NA,0,NA,0,0,0,218.46,51150,22777,0.7306,41,0.0018,NA,0,0,0,0,1,0,0
0,"App ID-105193","2014 Fall",16,3.33,NA,0,NA,0,0,0,212.26,45935,12852,0.7323,24,0.0019,NA,0,0,0,0,0,0,0
0,"App ID-105270","2014 Fall",33,4,NA,0,41484,23750,23750,29480,229.22,65815,13531,0.8924,25,0.0018,NA,1,0,0,1,0,0,0
0,"App ID-105288","2014 Fall",22,3.1,NA,1,41484,19150,19150,33032,203.3,73100,32771,0.5458,50,0.0015,NA,0,0,0,0,1,0,1
0,"App ID-105294","2014 Fall",23,3.81,NA,0,41484,13000,13000,3097,180.53,72725,16022,0.9701,28,0.0017,546,0,0,0,0,0,0,0
0,"App ID-105360","2014 Fall",21,3.25,NA,0,41484,18560,18560,38973,596.35,42500,9280,0.9658,12,0.0013,NA,0,1,0,0,0,0,0
